,Word,Domain,Concreteness,Specificity,Lg10CD,Valence,Arousal,Dominance,length
0,communication,Abstract,2.9,1.7142857142857144,2.6375,0.837,0.4,0.649,13
1,craft,Abstract,3.48,2.0,2.316,0.76,0.321,0.539,5
2,emotion,Abstract,2.44,1.7142857142857144,2.534,0.693,0.873,0.696,7
3,profession,Abstract,2.83,1.8571428571428572,2.5809,0.68,0.529,0.786,10
4,quantity,Abstract,2.97,1.2857142857142856,1.9138,0.52,0.472,0.783,8
5,relationship,Abstract,2.8,1.4285714285714286,3.2721,0.867,0.566,0.589,12
6,religion,Abstract,1.71,2.857142857142857,2.6444,0.646,0.32,0.755,8
7,shape,Abstract,3.14,1.7142857142857144,3.0755,0.592,0.24,0.422,5
8,sport,Abstract,3.48,2.0,2.8235,0.865,0.7,0.657,5
9,time,Abstract,3.07,1.8571428571428572,3.9195,0.604,0.288,0.609,4
10,animal,Concrete,4.61,1.8571428571428572,3.1377,0.521,0.51,0.513,6
11,building,Concrete,4.64,1.8571428571428572,3.3824,0.705,0.288,0.673,8
12,clothing,Concrete,4.43,2.142857142857143,2.6335,0.75,0.343,0.407,8
13,drink,Concrete,4.76,1.8571428571428572,3.6389,0.65,0.552,0.474,5
14,food,Concrete,4.8,1.5714285714285714,3.557,0.888,0.324,0.527,4
15,fruit,Concrete,4.81,2.142857142857143,2.8549,0.896,0.291,0.312,5
16,furniture,Concrete,4.89,2.0,2.7316,0.688,0.26,0.264,9
17,plant,Concrete,4.76,2.0,2.9201,0.73,0.18,0.371,5
18,tool,Concrete,4.6,2.0,2.5682,0.49,0.35,0.594,4
19,vehicle,Concrete,4.64,2.0,2.8254,0.641,0.565,0.5,7
