category,Domain,Type,Word,Concreteness,Specificity,Lg10CD,Valence,Arousal,Dominance,length,prod.freq.percent
Communication,Abstract,Target 1,language,2.35,1.42857142857143,3.0715,0.677,0.337,0.704,8,NA
Communication,Abstract,Target 2,conversation,3.28,1.71428571428571,3.2529,0.75,0.51,0.609,12,NA
Communication,Abstract,Target 3,debate,3.18,1.85714285714286,2.4456,0.408,0.691,0.683,6,NA
Communication,Abstract,Distractor 1,breathing,4.1,NA,3,NA,NA,NA,9,NA
Communication,Abstract,Distractor 2,playing,NA,NA,3.5691,NA,NA,NA,7,NA
Communication,Abstract,Unrelated 1,avocado,4.89,3,1.6435,0.677,0.255,0.287,7,NA
Communication,Abstract,Unrelated 2,rider,4.07,2.28571428571429,2.3222,0.635,0.627,0.574,5,NA
Communication,Abstract,Unrelated 3,zone,3.07,1.85714285714286,2.7945,0.531,0.349,0.382,4,NA
Communication,Abstract,Unrelated 4,sponsor,3.28,2.42857142857143,2.2405,0.729,0.537,0.8,7,NA
Craft,Abstract,Target 1,pottery,4.72,2.28571428571429,1.7924,0.594,0.286,0.422,7,NA
Craft,Abstract,Target 2,painting,4.59,2.14285714285714,2.8062,0.792,0.324,0.333,8,NA
Craft,Abstract,Target 3,carpentry,3.48,2.14285714285714,1.3617,0.561,0.459,0.518,9,NA
Craft,Abstract,Distractor 1,imagination,1.69,1.85714285714286,2.8136,0.802,0.491,0.547,11,NA
Craft,Abstract,Distractor 2,literacy,2.04,1.85714285714286,1.3979,0.73,0.306,0.638,8,NA
Craft,Abstract,Unrelated 1,omelet,4.93,2,1.9294,0.708,0.323,0.315,6,NA
Craft,Abstract,Unrelated 2,sister,4,2.57142857142857,3.4839,0.916,0.324,0.562,6,NA
Craft,Abstract,Unrelated 3,dialect,2.67,1.85714285714286,1.7404,0.635,0.422,0.526,7,NA
Craft,Abstract,Unrelated 4,decade,3.19,1.71428571428571,2.3345,0.531,0.402,0.665,6,NA
Emotion,Abstract,Target 1,anger,2.41,1.85714285714286,2.8062,0.167,0.865,0.657,5,0.25
