Rec_Session_Id,Trial_Nr,Trial_Id,Task_Name,Task_Nr,category,choice_precise1,choice_precise2,choice_precise3,condition,correct_selection,difficulty_answer_listener,difficulty_answer_speaker,distractor1_string,distractor2_string,easiness_answer_listener,easiness_answer_speaker,Input,need_for_discussion_listener,need_for_discussion_speaker,process_time_listener,process_time_speaker,rt_speaker,target1_string,target2_string,target3_string,unrelated1_string,unrelated2_string,unrelated3_string,unrelated4_string,Completed,Crowdsourcing_Code,Crowdsourcing_SubjId,End_Time,End_Time_Local,Exp_Subject_Id,Group_Nr,Multi_User_Group_Id,Rec_Session_Id,Role_Id,Screen_Refresh_Rate,SelectedAge,SelectedGender,SelectedLanguage,SelectedLocation,Session_Token,Start_Time,Start_Time_Local,Subject_Nr,TimeMeasure_Mean,TimeMeasure_Std
1255743,1,1,introduction,1,"","","","","","","","","","","","","","","","","","","","","","","","","",false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,1,1,test,2,"",target3,target1,target2,"",true,"","","","","","",primary colors,"","",6529,"","","","","","","","","",false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,1,20,working_captchatask_enter,3,Vehicle,target2,target3,target1,Concrete,true,"","",delivery,teleportation,"","",wheels,"","",6573,"","",tractor,bicycle,helicopter,knuckle,bread,reality,rumor,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,2,18,working_captchatask_enter,3,Plants,target1,target2,target3,Concrete,true,"","",mold,jaguar,"","",green plant,"","",8748,"","",cactus,sunflower,wheat,glue,postcard,privacy,bedtime,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,3,17,working_captchatask_enter,3,Furniture,target2,target1,target3,Concrete,true,"","",curtain,carpet,"","",room acessory,"","",9086,"","",wardrobe,armchair,bookcase,pastry,song,mystery,summary,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,4,12,working_captchatask_enter,3,Buildings,target2,target1,target3,Concrete,true,"","",bridge,platform,"","",building of worship for christian,"","",19090,"","",cottage,church,hospital,swimming,biscuit,midnight,intention,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,5,4,working_captchatask_enter,3,Profession,target1,target3,target2,Abstract,true,"","",traveler,neighbor,"","",occupation,"","",4818,"","",teacher,lawyer,doctor,shampoo,salad,century,paradox,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,6,8,working_captchatask_enter,3,Shape,target1,target3,target2,Abstract,true,"","",distance,smoothness,"","",shape,"","",4459,"","",circle,triangle,cube,island,aunt,haven,playback,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,7,10,working_captchatask_enter,3,Time,target3,target2,target1,Abstract,true,"","",tide,eclipse,"","",measurement for time,"","",5638,"","",minute,day,hour,oil,cinema,feedback,royalty,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
1255743,8,11,working_captchatask_enter,3,Animal,target2,target1,target3,Concrete,true,"","",mushroom,lavender,"","",animal,"","",5006,"","",elephant,penguin,butterfly,campfire,certificate,donation,monarchy,false,"",673d00ce7364481560d1f3b6,"","",1076741,1,va561of,1255743,2,59.88023952095874,25,female,en,US,e80043250e789fae32f5038cce97e7a8,2025-03-07T16:46:04.721Z,2025-03-07 11:46:00-05,7,"",""
