Target concept,Domain,Target 1,Target 2,Target 3,Distractor 1,Distractor 2,Unrelated 1,Unrelated 2,Unrelated 3,Unrelated 4,Mean_Distractor_Similarity
Communication,Abstract,language,conversation,debate,breathing,playing,avocado,rider,zone,sponsor,0.65251446
Craft,Abstract,pottery,painting,carpentry,imagination,literacy,omelet,sister,dialect,decade,0.62583023
Emotion,Abstract,anger,fear,joy,intuition,pain,whale,lamp,seminar,algorithm,0.7265869
Profession,Abstract,teacher,lawyer,doctor,traveler,neighbor,shampoo,salad,century,paradox,0.6814545
Quantity,Abstract,volume,pinch,heap,size,container,raisin,homework,suspect,gaze,0.43562597
Relationship,Abstract,friendship,acquaintance,partnership,implication,ownership,scissors,dictionary,calculus,teatime,0.6242535
Religion,Abstract,buddhism,islam,christianity,philosophy,pacifism,snowball,trumpet,hometown,rhyme,0.79787546
Shape,Abstract,circle,triangle,cube,distance,smoothness,island,aunt,haven,playback,0.6365013
Sport,Abstract,hockey,judo,golf,bathing,farming,drawers,squid,dialogue,weekday,0.6320083
Time,Abstract,minute,day,hour,tide,eclipse,oil,cinema,feedback,royalty,0.7708256
Animal,Concrete,elephant,penguin,butterfly,mushroom,lavender,campfire,certificate,donation,monarchy,0.5864906
Building,Concrete,cottage,church,hospital,bridge,platform,swimming,biscuit,midnight,intention,0.5876335
Clothing,Concrete,blouse,dress,sweater,blanket,necklace,rainfall,nectar,schedule,miracle,0.8089023
Drink,Concrete,smoothie,coffee,milk,pasta,vinegar,giraffe,ceremony,justice,review,0.64929295
Food,Concrete,sandwich,yogurt,chocolate,water,vitamin,statue,panda,accuracy,tale,0.74237674
Fruit,Concrete,apple,grape,banana,cheese,bread,penny,ticket,institute,detail,0.6655911
Furniture,Concrete,wardrobe,armchair,bookcase,curtain,carpet,pastry,song,mystery,summary,0.52882946
Plant,Concrete,cactus,sunflower,wheat,mold,jaguar,glue,postcard,privacy,bedtime,0.62461776
Tool,Concrete,hammer,screwdriver,wrench,ventilator,dollhouse,parade,cocktail,idealism,conclusion,0.6142881
Vehicle,Concrete,tractor,bicycle,helicopter,delivery,teleportation,knuckle,bread,reality,rumor,0.63819003
