token,rating-human,specificity1,specificity2,specificity3
entirety,3.07,2.9177281134935296,2.8997040887159753,1.8571428571428572
creationism,1.69,3.008261673776419,2.998447196503588,2.0
thousand,3.08,3.008261673776419,2.998447196503588,2.0
flashback,2.36,3.3703959149079794,3.3934196276540396,2.428571428571429
organist,4.0,3.4609294751908695,3.4455546967631263,2.571428571428571
bricklayer,4.42,3.4609294751908695,3.4455546967631263,2.571428571428571
originality,1.86,2.7366609929277494,2.7022178731407496,1.7142857142857144
mortar,4.48,3.4609294751908695,3.495393602538275,2.571428571428571
mozzarella,4.89,3.3703959149079794,3.396650494750662,2.428571428571429
maypole,4.54,3.4609294751908695,3.495393602538275,2.571428571428571
islander,4.19,3.2798623546250893,3.2480684811879006,2.2857142857142856
anticoagulation,2.76,3.3703959149079794,3.3934196276540396,2.428571428571429
dizziness,3.07,3.0987952340593092,3.097190304291201,2.0
electrostatics,2.85,3.3703959149079794,3.3934196276540396,2.428571428571429
extortionist,3.17,3.5514630354737595,3.5442978045507396,2.7142857142857144
subversion,2.15,3.2798623546250893,3.2946765198664267,2.2857142857142856
balsam,4.21,3.2798623546250893,3.297907386963049,2.2857142857142856
toil,2.67,2.4734898379552304,2.4151824617317796,2.0
lowlife,3.27,3.3703959149079794,3.3468115889755135,2.428571428571429
nunnery,3.5,3.641996595756649,3.6928798181135005,2.857142857142857
peak,4.2,2.7366609929277494,2.7022178731407496,1.7142857142857144
walkway,4.33,2.798049256624254,2.772403667451661,2.0
bodybuilder,4.43,3.1893287943421993,3.1493253734002877,2.142857142857143
azalea,4.4,3.4609294751908695,3.495393602538275,2.571428571428571
ping,3.17,2.9177281134935296,2.902934955812597,1.7142857142857144
airiness,2.24,3.1893287943421993,3.195933412078814,2.142857142857143
ecology,2.64,3.008261673776419,2.998447196503588,1.8571428571428572
cutter,4.07,3.3703959149079794,3.3468115889755135,2.428571428571429
hobbit,4.17,3.1893287943421993,3.195933412078814,2.142857142857143
imprisonment,3.46,3.1893287943421993,3.195933412078814,2.142857142857143
contentment,2.25,2.7366609929277494,2.7022178731407496,1.8571428571428572
recession,2.42,3.008261673776419,2.998447196503588,1.8571428571428572
smog,4.14,3.2798623546250893,3.2946765198664267,2.2857142857142856
pier,4.62,3.0458364962299025,3.0426601561274027,2.142857142857143
punk,3.1,3.4609294751908695,3.4455546967631263,2.7142857142857144
idea,1.61,2.0857405778011735,1.9922722517492337,1.7142857142857144
symbol,3.11,2.068187955251667,1.9731279643171242,1.5714285714285714
zillion,2.33,2.9177281134935296,2.8997040887159753,1.7142857142857144
godmother,3.72,3.5514630354737595,3.5442978045507396,2.7142857142857144
alpha,1.81,3.1893287943421993,3.195933412078814,2.142857142857143
mall,4.83,3.0987952340593092,3.100421171387823,2.142857142857143
importer,3.43,3.3703959149079794,3.3468115889755135,2.428571428571429
pathology,2.41,3.3703959149079794,3.3934196276540396,2.571428571428571
fact,2.72,2.5264485757755843,2.4729434769922003,1.7142857142857144
liver,4.68,3.0987952340593092,3.100421171387823,2.0
league,3.46,2.6950670127803074,2.6568521673006096,1.8571428571428572
astrophysics,3.0,3.3703959149079794,3.3934196276540396,2.571428571428571
pine,4.37,3.0602039681932056,3.0583304647682135,2.7142857142857144
participle,2.44,3.1363700565127925,3.138172396818393,2.2857142857142856
clutter,3.68,2.9177281134935296,2.8997040887159753,1.8571428571428572
aroma,3.67,2.5931686948154526,2.545713750092716,1.5714285714285714
cuff,4.61,3.0987952340593092,3.100421171387823,2.142857142857143
revival,2.79,2.9553029359470124,2.9406861812431675,2.142857142857143
tapeworm,4.93,3.2269036167956826,3.2401463717026284,2.428571428571429
disc,4.85,3.2269036167956826,3.2401463717026284,2.428571428571429
indisposition,1.92,3.2798623546250893,3.2946765198664267,2.2857142857142856
grudge,2.14,3.2798623546250893,3.2946765198664267,2.2857142857142856
scallop,4.61,3.008261673776419,2.998447196503588,1.8571428571428572
nebula,4.03,3.4609294751908695,3.5853405652423436,2.571428571428571
misgiving,1.83,3.0987952340593092,3.097190304291201,2.0
discoverer,3.45,3.1893287943421993,3.1493253734002877,2.2857142857142856
successor,3.29,3.2798623546250893,3.2480684811879006,2.2857142857142856
kingpin,3.48,3.3703959149079794,3.3468115889755135,2.428571428571429
warhorse,4.21,3.1893287943421993,3.1991642791754358,2.142857142857143
calculation,3.0,2.6732476914755594,2.633054278553619,2.0
savagery,1.73,3.0987952340593092,3.097190304291201,2.0
malnutrition,3.1,3.1601834977558143,3.1641452315054903,2.571428571428571
undergarment,4.48,2.930585599625906,2.9169583537186052,2.428571428571429
correspondence,3.35,2.754101837701011,2.7212402468367687,2.0
seafood,4.83,2.2913387915103582,2.21974489740664,1.7142857142857144
hazard,3.67,2.5931686948154526,2.5489446171893384,1.5714285714285714
medic,4.43,3.0458364962299025,3.0426601561274027,2.2857142857142856
traction,3.59,3.2798623546250893,3.297907386963049,2.2857142857142856
