Word,Concreteness,Spec_3,Lg10CD,length,Valence,Arousal,Dominance
aardvark,4.68,2.571428571428571,1.1139,8,0.427,0.49,0.437
abacus,4.52,2.142857142857143,1.0414,6,0.51,0.276,0.485
abandonment,2.54,1.8571428571428572,1.6628,11,0.128,0.43,0.202
abatement,1.92,1.8571428571428572,0.6021,9,0.388,0.338,0.336
abbreviation,3.07,2.0,0.9542,12,0.469,0.306,0.345
abdomen,4.7,1.7142857142857144,2.0899,7,0.469,0.462,0.471
abduction,3.07,2.571428571428571,2.0492,9,0.062,0.99,0.673
ability,1.81,1.5714285714285714,2.8325,7,0.875,0.51,0.816
abnormality,2.48,1.8571428571428572,1.3222,11,0.092,0.655,0.383
abode,3.92,2.0,1.5051,5,0.62,0.302,0.5
abolition,2.43,2.2857142857142856,0.9542,9,0.323,0.69,0.529
abomination,2.23,2.142857142857143,1.6812,11,0.078,0.755,0.518
abortion,3.41,2.2857142857142856,2.1931,8,0.082,0.77,0.283
abracadabra,2.04,1.8571428571428572,1.4314,11,0.673,0.632,0.434
abrasion,4.57,2.428571428571429,1.2041,8,0.406,0.592,0.441
abscess,4.48,2.0,1.3424,7,0.154,0.451,0.349
absence,2.31,2.0,2.4564,7,0.153,0.235,0.266
absentee,3.29,2.2857142857142856,1.2788,8,0.235,0.33,0.279
absenteeism,2.35,2.142857142857143,0.7782,11,0.404,0.273,0.357
absolution,1.78,1.7142857142857144,1.6435,10,0.715,0.5,0.664
absorption,3.22,1.7142857142857144,1.2553,10,0.609,0.422,0.446
abstention,2.16,1.8571428571428572,0.7782,10,0.271,0.264,0.509
abstinence,1.72,1.8571428571428572,1.4624,10,0.26,0.392,0.429
abstraction,1.57,2.0,1.0792,11,0.469,0.439,0.525
absurdity,1.25,1.7142857142857144,1.5051,9,0.115,0.528,0.227
abundance,2.21,2.0,1.6232,9,0.812,0.69,0.852
abuse,2.71,2.142857142857143,2.6128,5,0.071,0.873,0.469
abyss,3.07,2.571428571428571,1.8325,5,0.353,0.725,0.296
academy,4.29,2.2857142857142856,2.5391,7,0.704,0.473,0.792
acceleration,2.97,1.8571428571428572,1.5798,12,0.704,0.905,0.843
accelerator,4.32,2.428571428571429,1.6812,11,0.593,0.83,0.812
accent,3.26,1.8571428571428572,2.6513,6,0.598,0.357,0.509
acceptance,2.21,1.7142857142857144,2.1492,10,0.833,0.287,0.755
access,2.71,2.2857142857142856,2.9657,6,0.714,0.472,0.567
accessory,4.1,2.2857142857142856,2.1004,9,0.562,0.292,0.445
accident,3.26,2.142857142857143,3.3387,8,0.125,0.908,0.336
acclaim,2.04,1.7142857142857144,1.301,7,0.562,0.809,0.718
accolade,2.46,1.7142857142857144,0.301,8,0.688,0.591,0.775
accommodation,2.96,2.142857142857143,1.6628,13,0.817,0.415,0.587
